COD_S11,GENDER,EDU_FATHER,EDU_MOTHER,OCC_FATHER,OCC_MOTHER,STRATUM,SISBEN,PEOPLE_HOUSE,,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,REVENUE,JOB,SCHOOL_NAME,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,Cod_SPro,UNIVERSITY,ACADEMIC_PROGRAM,QR_PRO,CR_PRO,CC_PRO,ENG_PRO,WC_PRO,FEP_PRO,G_SC,PERCENTILE,2ND_DECILE,QUARTILE,SEL,SEL_IHE
SB11201420269955,M,Not sure,Complete Secundary,Other occupation,Home,Stratum 3,Level 1,Three,,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,No,COLEGIO SAN JOSE NORTE (IED),PUBLIC,ACADEMIC,69,67,69,75,63,EK201830052560,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,MECHANICAL ENGINEERING,100,79,78,78,81,138,182,92,5,4,2,4
SB11201420270658,M,Incomplete primary ,Incomplete Secundary,Other occupation,Other occupation,Stratum 2,Level 2,Three,,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,less than 1 LMMW,No,COLEGIO VILLAS DEL PROGRESO (IED),PUBLIC,ACADEMIC,72,56,58,64,55,EK201830091636,"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",INDUSTRIAL ENGINEERING,90,76,35,45,82,45,161,73,4,3,1,3
SB11201420271000,M,Incomplete Secundary,Incomplete Secundary,Independent,Independent,Stratum 3,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,COL MILIT SIMON BOLIVAR,PRIVATE,ACADEMIC,67,57,69,68,71,EK201830088084,"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",CHEMICAL ENGINEERING,98,70,40,92,65,92,173,86,5,4,2,3
SB11201420272917,F,Complete professional education,Complete professional education,Technical or professional level employee,Independent professional,Stratum 5,It is not classified by the SISBEN,Five,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,COL ESCLAVAS SGDO CORAZON DE JESUS,PRIVATE,ACADEMIC,58,54,59,59,52,EK201830091565,"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",INDUSTRIAL ENGINEERING,65,43,58,60,85,60,158,68,4,3,4,3
SB11201420273310,F,Complete professional education,Complete professional education,Retired,Independent professional,Stratum 4,It is not classified by the SISBEN,Two,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,No,COL ESCLAVAS SGDO CORAZON DE JESUS,PRIVATE,ACADEMIC,61,63,54,64,61,EK201830088023,"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",CHEMICAL ENGINEERING,96,70,66,70,94,70,177,88,5,4,4,3
SB11201420274881,M,Incomplete primary ,Complete Secundary,Retired,Retired,Stratum 3,It is not classified by the SISBEN,Two,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COLEGIO PRADO VERANIEGO (IED),PUBLIC,ACADEMIC,76,80,88,74,78,EK201830094116,"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",INDUSTRIAL ENGINEERING,99,76,80,42,28,42,166,78,4,4,2,3
SB11201420274970,M,Complete primary ,Complete Secundary,Operator,Home,Stratum 1,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,No,INSTITUCION EDUCATIVA LA RIBERA,PUBLIC,ACADEMIC,56,50,49,49,42,EK201830056543,UNIVERSIDAD DEL SINÚ 'Elías Bechara Zainúm' - UNISINÚ-MONTERIA,CIVIL ENGINEERING,78,54,34,24,43,147,144,47,3,2,1,2
SB11201420274998,M,Incomplete Secundary,Complete primary ,Independent,Independent,Stratum 2,Level 1,Four,,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,No,INSTITUCION EDUCATIVA DEPARTAMENTAL RICARDO HINESTROSA DAZA,PUBLIC,TECHNICAL/ACADEMIC,81,72,80,77,53,EK201830002525,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,INDUSTRIAL ENGINEERING,98,99,95,83,98,226,220,100,5,4,1,4
SB11201420275291,F,Incomplete Secundary,Incomplete Secundary,Independent professional,Home,Stratum 2,Level 2,Four,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,COLEGIO GENERAL GUSTAVO ROJAS PINILLA (IED),PUBLIC,ACADEMIC,64,63,64,62,50,EK201830088038,"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",CHEMICAL ENGINEERING,92,54,89,51,5,51,155,65,4,3,2,3
SB11201420275968,M,Complete primary ,Complete Secundary,Operator,Home,Stratum 2,Level 2,Four,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,COLEGIO DARIO ECHANDIA (IED),PUBLIC,TECHNICAL/ACADEMIC,64,69,70,70,55,EK201830088124,"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",CHEMICAL ENGINEERING,97,82,96,74,67,74,183,93,5,4,1,3
